Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Hispanic,Science,7,40,14695
All students,Science,30,50,25009
Hispanic,Science,30,37,25009
All students,English,34,48,25009
Hispanic,English,34,37,25009
All students,Math,7,37,25009
Hispanic,Math,7,24,25009
All students,Math,5,37,16957
Hispanic,Math,5,24,16957
All students,English,17,48,16957
Hispanic,English,18,37,16957
All students,Science,30,61,16957
Hispanic,Science,30,49,16957
All students,Math,15,37,14699
Hispanic,Math,13,24,14699
All students,English,22,48,14699
Hispanic,English,21,37,14699
All students,Science,17,53,14699
Hispanic,Science,15,40,14699
All students,Math,50,37,5937
White,Math,54,53,5937
Hispanic,Math,37,24,5937
All students,English,65,48,5937
White,English,71,64,5937
Hispanic,English,58,37,5937
All students,Science,87,61,5937
White,Science,90,78,5937
All students,Math,18,37,12471
Hispanic,Math,18,24,12471
All students,English,34,48,12471
Hispanic,English,34,37,12471
All students,Science,26,57,12471
Hispanic,Science,26,44,12471
All students,Math,56,37,6261
Hispanic,Math,43,24,6261
White,Math,65,53,6261
Asian,Math,95,72,6261
Black,Math,46,18,6261
All students,English,72,48,6261
Hispanic,English,61,37,6261
White,English,82,64,6261
Asian,English,95,75,6261
Black,English,69,31,6261
All students,Science,73,53,6261
Hispanic,Science,60,40,6261
White,Science,83,74,6261
All students,Math,72,37,5881
White,Math,72,53,5881
Hispanic,Math,60,24,5881
Two or more races,Math,84,52,5881
Asian,Math,86,72,5881
All students,English,75,48,5881
White,English,74,64,5881
Hispanic,English,70,37,5881
Two or more races,English,100,63,5881
Asian,English,86,75,5881
All students,Science,87,53,5881
White,Science,86,74,5881
Hispanic,Science,81,40,5881
All students,Math,68,37,6262
White,Math,70,53,6262
Hispanic,Math,54,24,6262
Asian,Math,87,72,6262
Two or more races,Math,63,52,6262
All students,English,78,48,6262
White,English,80,64,6262
Hispanic,English,65,37,6262
Asian,English,87,75,6262
Two or more races,English,74,63,6262
All students,Science,87,53,6262
White,Science,89,74,6262
Hispanic,Science,85,40,6262
All students,Math,43,37,5914
Hispanic,Math,35,24,5914
White,Math,63,53,5914
Two or more races,Math,57,52,5914
All students,English,64,48,5914
Hispanic,English,59,37,5914
White,English,73,64,5914
Two or more races,English,71,63,5914
All students,Science,18,53,5914
Hispanic,Science,11,40,5914
All students,English,59,48,5942
White,English,62,64,5942
Hispanic,English,53,37,5942
Black,English,47,31,5942
Asian,English,67,75,5942
Two or more races,English,43,63,5942
All students,Math,32,37,5942
White,Math,36,53,5942
Hispanic,Math,21,24,5942
Black,Math,20,18,5942
Asian,Math,67,72,5942
Two or more races,Math,33,52,5942
All students,Science,73,61,5942
White,Science,77,78,5942
Hispanic,Science,64,49,5942
All students,Science,83,50,14167
Hispanic,Science,79,37,14167
Black,Science,75,32,14167
All students,Math,32,37,14167
Hispanic,Math,31,24,14167
All students,English,91,48,14167
Hispanic,English,94,37,14167
All students,Math,28,37,513
Hispanic,Math,24,24,513
White,Math,33,53,513
Two or more races,Math,27,52,513
All students,English,37,48,513
Hispanic,English,26,37,513
White,English,47,64,513
Two or more races,English,55,63,513
All students,Science,42,53,513
Hispanic,Science,19,40,513
White,Science,53,74,513
All students,Math,40,37,5949
Hispanic,Math,37,24,5949
Black,Math,31,18,5949
White,Math,56,53,5949
Two or more races,Math,59,52,5949
Asian,Math,64,72,5949
Filipino,Math,65,57,5949
All students,English,46,48,5949
Hispanic,English,42,37,5949
Black,English,40,31,5949
White,English,63,64,5949
Two or more races,English,71,63,5949
Asian,English,62,75,5949
Filipino,English,71,70,5949
All students,Science,59,57,5949
Hispanic,Science,55,44,5949
Black,Science,61,40,5949
White,Science,76,78,5949
Two or more races,Science,58,75,5949
All students,Math,26,37,5994
Hispanic,Math,25,24,5994
White,Math,31,53,5994
All students,English,43,48,5994
Hispanic,English,42,37,5994
White,English,46,64,5994
All students,Science,32,53,5994
Hispanic,Science,32,40,5994
All students,Science,63,50,4179
White,Science,70,68,4179
Hispanic,Science,46,37,4179
Filipino,Science,67,67,4179
Asian,Science,80,76,4179
Two or more races,Science,47,66,4179
All students,English,79,48,4179
White,English,78,64,4179
Hispanic,English,74,37,4179
Filipino,English,100,70,4179
Asian,English,87,75,4179
Two or more races,English,91,63,4179
All students,Math,37,37,4179
White,Math,40,53,4179
Hispanic,Math,25,24,4179
Filipino,Math,75,57,4179
Asian,Math,40,72,4179
Two or more races,Math,36,52,4179
All students,Math,75,37,10
Asian,Math,85,72,10
White,Math,72,53,10
Hispanic,Math,44,24,10
Filipino,Math,83,57,10
Black,Math,66,18,10
Two or more races,Math,72,52,10
All students,English,85,48,10
Asian,English,89,75,10
White,English,85,64,10
Hispanic,English,70,37,10
Filipino,English,83,70,10
Black,English,74,31,10
Two or more races,English,93,63,10
All students,Science,78,61,10
Asian,Science,83,85,10
White,Science,78,78,10
Hispanic,Science,58,49,10
Black,Science,60,43,10
Filipino,Science,90,79,10
Two or more races,Science,92,75,10
All students,English,74,48,12032
White,English,84,64,12032
Asian,English,61,75,12032
Hispanic,English,69,37,12032
Two or more races,English,63,63,12032
Black,English,68,31,12032
Filipino,English,92,70,12032
All students,Math,69,37,12032
White,Math,76,53,12032
Asian,Math,66,72,12032
Hispanic,Math,56,24,12032
Two or more races,Math,60,52,12032
Black,Math,53,18,12032
Filipino,Math,100,57,12032
All students,Science,86,55,12032
White,Science,94,73,12032
Asian,Science,75,80,12032
Hispanic,Science,80,42,12032
All students,English,29,48,6188
Hispanic,English,28,37,6188
All students,Math,27,37,6188
Hispanic,Math,27,24,6188
All students,Science,37,57,6188
Hispanic,Science,37,44,6188
All students,English,72,48,14791
White,English,77,64,14791
Hispanic,English,60,37,14791
Two or more races,English,76,63,14791
Black,English,43,31,14791
All students,Math,61,37,14791
White,Math,67,53,14791
Hispanic,Math,51,24,14791
Two or more races,Math,66,52,14791
Black,Math,50,18,14791
All students,Science,84,61,14791
White,Science,89,78,14791
Hispanic,Science,73,49,14791
Two or more races,Science,73,75,14791
All students,Science,41,50,6289
Hispanic,Science,35,37,6289
White,Science,63,68,6289
Two or more races,Science,67,66,6289
Filipino,Science,35,67,6289
All students,English,49,48,6289
Hispanic,English,46,37,6289
White,English,46,64,6289
Two or more races,English,75,63,6289
Filipino,English,74,70,6289
All students,Math,17,37,6289
Hispanic,Math,15,24,6289
White,Math,21,53,6289
Two or more races,Math,25,52,6289
Filipino,Math,45,57,6289
All students,Math,41,37,6194
Hispanic,Math,38,24,6194
Black,Math,36,18,6194
Asian,Math,54,72,6194
All students,English,38,48,6194
Hispanic,English,32,37,6194
Black,English,36,31,6194
Asian,English,55,75,6194
All students,Science,34,53,6194
Hispanic,Science,27,40,6194
Black,Science,36,36,6194
Asian,Science,40,78,6194
All students,Math,35,37,6196
Hispanic,Math,19,24,6196
White,Math,58,53,6196
Two or more races,Math,43,52,6196
Asian,Math,46,72,6196
Black,Math,15,18,6196
Filipino,Math,45,57,6196
All students,English,47,48,6196
Hispanic,English,31,37,6196
White,English,69,64,6196
Two or more races,English,57,63,6196
Asian,English,64,75,6196
Black,English,31,31,6196
Filipino,English,64,70,6196
All students,Science,67,61,6196
Hispanic,Science,55,49,6196
White,Science,89,78,6196
All students,Math,44,37,5969
White,Math,56,53,5969
Hispanic,Math,36,24,5969
Two or more races,Math,46,52,5969
Black,Math,20,18,5969
All students,English,48,48,5969
White,English,63,64,5969
Hispanic,English,38,37,5969
Two or more races,English,38,63,5969
Black,English,27,31,5969
All students,Science,69,53,5969
White,Science,86,74,5969
Hispanic,Science,67,40,5969
All students,Math,22,37,16896
Hispanic,Math,21,24,16896
All students,English,27,48,16896
Hispanic,English,25,37,16896
All students,Science,21,53,16896
Hispanic,Science,16,40,16896
All students,Math,55,37,6198
Hispanic,Math,40,24,6198
Filipino,Math,68,57,6198
Asian,Math,64,72,6198
White,Math,63,53,6198
Two or more races,Math,52,52,6198
Black,Math,29,18,6198
All students,English,60,48,6198
Hispanic,English,44,37,6198
Filipino,English,73,70,6198
Asian,English,73,75,6198
White,English,59,64,6198
Two or more races,English,57,63,6198
Black,English,53,31,6198
All students,Science,79,53,6198
Hispanic,Science,66,40,6198
Filipino,Science,84,72,6198
Asian,Science,94,78,6198
All students,Math,69,37,6036
White,Math,64,53,6036
Asian,Math,86,72,6036
Filipino,Math,60,57,6036
Hispanic,Math,51,24,6036
Two or more races,Math,62,52,6036
Black,Math,39,18,6036
All students,English,82,48,6036
White,English,82,64,6036
Asian,English,91,75,6036
Filipino,English,80,70,6036
Hispanic,English,66,37,6036
Two or more races,English,74,63,6036
Black,English,58,31,6036
All students,Science,93,61,6036
White,Science,91,78,6036
Asian,Science,99,85,6036
Filipino,Science,89,79,6036
Hispanic,Science,83,49,6036
Two or more races,Science,96,75,6036
All students,Math,12,37,24725
Hispanic,Math,12,24,24725
Black,Math,5,18,24725
Asian,Math,39,72,24725
Two or more races,Math,6,52,24725
All students,English,19,48,24725
Hispanic,English,17,37,24725
Black,English,19,31,24725
Asian,English,32,75,24725
Two or more races,English,18,63,24725
All students,Science,32,61,24725
Hispanic,Science,31,49,24725
Black,Science,9,43,24725
Asian,Science,64,85,24725
All students,Math,38,37,5898
Hispanic,Math,27,24,5898
White,Math,51,53,5898
Asian,Math,63,72,5898
Black,Math,8,18,5898
All students,English,49,48,5898
Hispanic,English,43,37,5898
White,English,58,64,5898
Asian,English,75,75,5898
Black,English,31,31,5898
All students,Science,63,53,5898
Hispanic,Science,58,40,5898
White,Science,65,74,5898
All students,English,56,48,6202
White,English,65,64,6202
Hispanic,English,49,37,6202
Two or more races,English,62,63,6202
Black,English,37,31,6202
All students,Math,50,37,6202
White,Math,62,53,6202
Hispanic,Math,37,24,6202
Two or more races,Math,53,52,6202
Black,Math,27,18,6202
All students,Science,59,53,6202
White,Science,72,74,6202
Hispanic,Science,47,40,6202
All students,Math,53,37,6203
Filipino,Math,53,57,6203
Hispanic,Math,30,24,6203
Asian,Math,74,72,6203
White,Math,57,53,6203
Two or more races,Math,58,52,6203
Black,Math,54,18,6203
All students,English,85,48,6203
Filipino,English,89,70,6203
Hispanic,English,78,37,6203
Asian,English,88,75,6203
White,English,80,64,6203
Two or more races,English,89,63,6203
Black,English,85,31,6203
All students,Science,66,50,6203
Filipino,Science,71,67,6203
Hispanic,Science,48,37,6203
Asian,Science,76,76,6203
White,Science,81,68,6203
Two or more races,Science,59,66,6203
Black,Science,57,32,6203
All students,Science,41,50,6291
Hispanic,Science,40,37,6291
Filipino,Science,70,67,6291
All students,Math,23,37,6291
Hispanic,Math,22,24,6291
Filipino,Math,30,57,6291
All students,English,61,48,6291
Hispanic,English,60,37,6291
Filipino,English,88,70,6291
All students,Math,83,37,17065
Asian,Math,93,72,17065
White,Math,79,53,17065
Filipino,Math,78,57,17065
Hispanic,Math,50,24,17065
Two or more races,Math,79,52,17065
All students,English,84,48,17065
Asian,English,90,75,17065
White,English,82,64,17065
Filipino,English,78,70,17065
Hispanic,English,63,37,17065
Two or more races,English,83,63,17065
All students,Science,87,53,17065
Asian,Science,94,78,17065
White,Science,87,74,17065
Filipino,Science,85,72,17065
Hispanic,Science,64,40,17065
All students,Math,64,37,11096
Hispanic,Math,55,24,11096
White,Math,69,53,11096
Filipino,Math,75,57,11096
Asian,Math,86,72,11096
Black,Math,46,18,11096
Two or more races,Math,65,52,11096
All students,English,81,48,11096
Hispanic,English,73,37,11096
White,English,88,64,11096
Filipino,English,92,70,11096
Asian,English,86,75,11096
Black,English,85,31,11096
Two or more races,English,76,63,11096
All students,Science,82,53,11096
Hispanic,Science,73,40,11096
White,Science,94,74,11096
Filipino,Science,87,72,11096
All students,Math,38,37,6058
White,Math,54,53,6058
Hispanic,Math,19,24,6058
Two or more races,Math,35,52,6058
All students,English,50,48,6058
White,English,67,64,6058
Hispanic,English,31,37,6058
Two or more races,English,59,63,6058
All students,Science,71,53,6058
White,Science,94,74,6058
Hispanic,Science,41,40,6058
All students,Math,22,37,992
Hispanic,Math,14,24,992
White,Math,34,53,992
Asian,Math,10,72,992
All students,English,27,48,992
Hispanic,English,21,37,992
White,English,37,64,992
Asian,English,14,75,992
All students,Science,18,53,992
Hispanic,Science,10,40,992
White,Science,32,74,992
All students,Math,49,37,6080
Hispanic,Math,47,24,6080
White,Math,72,53,6080
All students,English,55,48,6080
Hispanic,English,53,37,6080
White,English,83,64,6080
All students,Science,72,57,6080
Hispanic,Science,71,44,6080
All students,Math,44,37,6012
White,Math,51,53,6012
Hispanic,Math,33,24,6012
Black,Math,38,18,6012
Two or more races,Math,70,52,6012
All students,English,55,48,6012
White,English,57,64,6012
Hispanic,English,50,37,6012
Black,English,50,31,6012
Two or more races,English,81,63,6012
All students,Science,72,57,6012
White,Science,83,76,6012
Hispanic,Science,63,44,6012
All students,Math,7,37,488
Hispanic,Math,7,24,488
White,Math,0,53,488
Black,Math,0,18,488
Filipino,Math,22,57,488
Asian,Math,14,72,488
All students,English,19,48,488
Hispanic,English,19,37,488
White,English,10,64,488
Black,English,6,31,488
Filipino,English,30,70,488
Asian,English,24,75,488
All students,Science,20,61,488
Hispanic,Science,21,49,488
Filipino,Science,18,79,488
All students,Math,61,37,12035
Hispanic,Math,49,24,12035
Filipino,Math,74,57,12035
White,Math,73,53,12035
Asian,Math,92,72,12035
Black,Math,50,18,12035
Two or more races,Math,76,52,12035
All students,English,72,48,12035
Hispanic,English,63,37,12035
Filipino,English,86,70,12035
White,English,89,64,12035
Asian,English,83,75,12035
Black,English,54,31,12035
Two or more races,English,76,63,12035
All students,Science,89,53,12035
Hispanic,Science,84,40,12035
Filipino,Science,100,72,12035
White,Science,94,74,12035
All students,Math,39,37,12043
Hispanic,Math,33,24,12043
Filipino,Math,65,57,12043
Black,Math,33,18,12043
White,Math,54,53,12043
Asian,Math,47,72,12043
Two or more races,Math,33,52,12043
All students,English,54,48,12043
Hispanic,English,50,37,12043
Filipino,English,77,70,12043
Black,English,39,31,12043
White,English,61,64,12043
Asian,English,58,75,12043
Two or more races,English,75,63,12043
All students,Science,69,57,12043
Hispanic,Science,65,44,12043
Filipino,Science,90,76,12043
All students,Science,65,50,12628
Hispanic,Science,61,37,12628
Filipino,Science,77,67,12628
Two or more races,Science,66,66,12628
White,Science,76,68,12628
Black,Science,75,32,12628
Asian,Science,83,76,12628
All students,Math,39,37,12628
Hispanic,Math,31,24,12628
Filipino,Math,60,57,12628
Two or more races,Math,43,52,12628
White,Math,61,53,12628
Black,Math,25,18,12628
Asian,Math,68,72,12628
All students,English,73,48,12628
Hispanic,English,70,37,12628
Filipino,English,81,70,12628
Two or more races,English,83,63,12628
White,English,78,64,12628
Black,English,60,31,12628
Asian,English,90,75,12628
All students,Math,56,37,6216
White,Math,73,53,6216
Hispanic,Math,29,24,6216
Two or more races,Math,69,52,6216
All students,English,72,48,6216
White,English,83,64,6216
Hispanic,English,56,37,6216
Two or more races,English,69,63,6216
All students,Science,85,53,6216
White,Science,94,74,6216
Hispanic,Science,73,40,6216
All students,English,39,48,11126
Hispanic,English,29,37,11126
White,English,49,64,11126
Two or more races,English,56,63,11126
All students,Math,15,37,11126
Hispanic,Math,13,24,11126
White,Math,18,53,11126
Two or more races,Math,11,52,11126
All students,Science,30,55,11126
Hispanic,Science,17,43,11126
White,Science,38,73,11126
All students,Math,40,37,5847
Hispanic,Math,38,24,5847
All students,English,51,48,5847
Hispanic,English,50,37,5847
All students,Science,52,53,5847
Hispanic,Science,52,40,5847
All students,English,31,48,11130
Hispanic,English,30,37,11130
Native American or Native Alaskan,English,27,36,11130
All students,Math,13,37,11130
Hispanic,Math,12,24,11130
Native American or Native Alaskan,Math,23,25,11130
All students,Science,21,53,11130
Hispanic,Science,21,40,11130
All students,Math,52,37,6069
White,Math,59,53,6069
Hispanic,Math,43,24,6069
Two or more races,Math,53,52,6069
Black,Math,33,18,6069
Asian,Math,53,72,6069
All students,English,55,48,6069
White,English,61,64,6069
Hispanic,English,50,37,6069
Two or more races,English,51,63,6069
Black,English,50,31,6069
Asian,English,33,75,6069
All students,Science,64,57,6069
White,Science,66,76,6069
Hispanic,Science,56,44,6069
